,Station,Depth_m,PAR_irradiance_Einm2-d1,PAR0+_Einm2-d1,Ratio_of_under_ice_PAR_to_surface_PAR,Ratio_of_openwater_PAR_to_surface_PAR,IceConcentration_percent,Sampled_under_ice_or_in_open_water
4490,309.0,0.36,32.8901351261103,37.467648000000004,NaN,0.8778275894475761,0.0,OW
4491,309.0,0.37,32.81948092302668,37.467648000000004,NaN,0.875941850500642,0.0,OW
4492,309.0,0.38,32.74907414432195,37.467648000000004,NaN,0.8740627152342723,0.0,OW
4493,309.0,0.39,32.678913658296814,37.467648000000004,NaN,0.8721901534437606,0.0,OW
4494,309.0,0.4,32.60899833633572,37.467648000000004,NaN,0.8703241350067055,0.0,OW
4495,309.0,0.41,32.539327053035926,37.467648000000004,NaN,0.8684646298864536,0.0,OW
4496,309.0,0.42,32.46989868632601,37.467648000000004,NaN,0.866611608135264,0.0,OW
4497,309.0,0.43,32.40071211757764,37.467648000000004,NaN,0.8647650398972905,0.0,OW
4498,309.0,0.44,32.331766231709835,37.467648000000004,NaN,0.862924895411365,0.0,OW
4499,309.0,0.45,32.26305991728575,37.467648000000004,NaN,0.8610911450135794,0.0,OW
4500,309.0,0.46,32.19459206660336,37.467648000000004,NaN,0.859263759139708,0.0,OW
4501,309.0,0.47,32.12636157577928,37.467648000000004,NaN,0.8574427083274423,0.0,OW
4502,309.0,0.48,32.05836734482745,37.467648000000004,NaN,0.855627963218493,0.0,OW
4503,309.0,0.49,31.99060827773202,37.467648000000004,NaN,0.8538194945605343,0.0,OW
4504,309.0,0.5,31.923083282514426,37.467648000000004,NaN,0.8520172732089941,0.0,OW
4505,309.0,0.51,31.85579127129657,37.467648000000004,NaN,0.8502212701287406,0.0,OW
4506,309.0,0.52,31.788731160359205,37.467648000000004,NaN,0.8484314563956402,0.0,OW
4507,309.0,0.53,31.721901870194646,37.467648000000004,NaN,0.8466478031979654,0.0,OW
4508,309.0,0.54,31.65530232555784,37.467648000000004,NaN,0.844870281837756,0.0,OW
4509,309.0,0.55,31.58893145551061,37.467648000000004,NaN,0.8430988637320017,0.0,OW
4510,309.0,0.56,31.522788193464567,37.467648000000004,NaN,0.8413335204137864,0.0,OW
4511,309.0,0.57,31.45687147719542,37.467648000000004,NaN,0.8395742235326704,0.0,OW
4512,309.0,0.58,31.39118024836977,37.467648000000004,NaN,0.8378209448420613,0.0,OW
4513,309.0,0.59,31.325713452381123,37.467648000000004,NaN,0.8360736561948356,0.0,OW
4514,309.0,0.6,31.260470038645593,37.467648000000004,NaN,0.8343323295512329,0.0,OW
4515,309.0,0.61,31.195448960847074,37.467648000000004,NaN,0.8325969369853979,0.0,OW
4516,309.0,0.62,31.130649176930984,37.467648000000004,NaN,0.8308674506852146,0.0,OW
4517,309.0,0.63,31.06606964914295,37.467648000000004,NaN,0.829143842953338,0.0,OW
4518,309.0,0.64,31.001709344283505,37.467648000000004,NaN,0.827426086213992,0.0,OW
4519,309.0,0.65,30.937567233859248,37.467648000000004,NaN,0.825714153017004,0.0,OW
4520,309.0,0.66,30.873642294130406,37.467648000000004,NaN,0.8240080160390746,0.0,OW
4521,309.0,0.67,30.809933505848896,37.467648000000004,NaN,0.822307648076786,0.0,OW
4522,309.0,0.68,30.746439854237035,37.467648000000004,NaN,0.8206130220460337,0.0,OW
4523,309.0,0.69,30.683160328290274,37.467648000000004,NaN,0.8189241109634177,0.0,OW
4524,309.0,0.7,30.62009392048778,37.467648000000004,NaN,0.8172408879385163,0.0,OW
4525,309.0,0.71,30.557239626524595,37.467648000000004,NaN,0.8155633261667398,0.0,OW
4526,309.0,0.72,30.494596444865554,37.467648000000004,NaN,0.813891398917422,0.0,OW
4527,309.0,0.73,30.432163377208227,37.467648000000004,NaN,0.8122250795461786,0.0,OW
4528,309.0,0.74,30.369939428363587,37.467648000000004,NaN,0.8105643414917206,0.0,OW
4529,309.0,0.75,30.307923606331183,37.467648000000004,NaN,0.8089091582778609,0.0,OW
4530,309.0,0.76,30.24611492269057,37.467648000000004,NaN,0.8072595035239619,0.0,OW
4531,309.0,0.77,30.1845123924638,37.467648000000004,NaN,0.8056153509412654,0.0,OW
4532,309.0,0.78,30.12311503514355,37.467648000000004,NaN,0.803976674360332,0.0,OW
4533,309.0,0.79,30.061921874338374,37.467648000000004,NaN,0.802343447721575,0.0,OW
4534,309.0,0.8,30.000931938493775,37.467648000000004,NaN,0.8007156450945033,0.0,OW
4535,309.0,0.81,29.940144260792934,37.467648000000004,NaN,0.7990932406750734,0.0,OW
4536,309.0,0.82,29.879557879671726,37.467648000000004,NaN,0.7974762087994347,0.0,OW
4537,309.0,0.83,29.819171838911867,37.467648000000004,NaN,0.7958645239464154,0.0,OW
4538,309.0,0.84,29.75898518824233,37.467648000000004,NaN,0.794258160753574,0.0,OW
4539,309.0,0.85,29.698996983505,37.467648000000004,NaN,0.792657094021621,0.0,OW
4540,309.0,0.86,29.639206286759585,37.467648000000004,NaN,0.7910612987172182,0.0,OW
4541,309.0,0.87,29.57961216582867,37.467648000000004,NaN,0.7894707499608372,0.0,OW
4542,309.0,0.88,29.520213694106946,37.467648000000004,NaN,0.7878854230216678,0.0,OW
4543,309.0,0.89,29.461009950925803,37.467648000000004,NaN,0.7863052933273474,0.0,OW
4544,309.0,0.9,29.40200002094613,37.467648000000004,NaN,0.784730336447757,0.0,OW
4545,309.0,0.91,29.34318299487456,37.467648000000004,NaN,0.7831605281141361,0.0,OW
4546,309.0,0.92,29.284557968543595,37.467648000000004,NaN,0.7815958441945327,0.0,OW
4547,309.0,0.93,29.226124043991188,37.467648000000004,NaN,0.7800362607226156,0.0,OW
4548,309.0,0.94,29.167880328657272,37.467648000000004,NaN,0.7784817538762313,0.0,OW
4549,309.0,0.95,29.109825936263213,37.467648000000004,NaN,0.7769323000008757,0.0,OW
4550,309.0,0.96,29.051959986121737,37.467648000000004,NaN,0.7753878755912762,0.0,OW
